away_team,home_team,distance_km
Buffalo Bills,Buffalo Bills,1.0174
Buffalo Bills,Miami Dolphins,2198.503
Buffalo Bills,New England Patriots,741.2231999999999
Buffalo Bills,New York Jets,577.2238000000001
Buffalo Bills,Baltimore Ravens,567.4248
Buffalo Bills,Cincinnati Bengals,687.1116
Buffalo Bills,Cleveland Browns,294.4474
Buffalo Bills,Pittsburgh Steelers,336.6452
Buffalo Bills,Houston Texans,2385.1505
Buffalo Bills,Indianapolis Colts,796.6229000000001
Buffalo Bills,Jacksonville Jaguars,1667.4558
Buffalo Bills,Tennessee Titans,1122.5168999999999
Buffalo Bills,Denver Broncos,2440.313
Buffalo Bills,Kansas City Chiefs,1560.4898999999998
Buffalo Bills,Las Vegas Raiders,3649.0617
Buffalo Bills,Los Angeles Chargers,4090.9064
Buffalo Bills,Dallas Cowboys,2218.3262
Buffalo Bills,New York Giants,577.2238000000001
Buffalo Bills,Philadelphia Eagles,595.6047
Buffalo Bills,Washington Commanders,605.3922
Buffalo Bills,Chicago Bears,847.6068
Buffalo Bills,Detroit Lions,449.92879999999997
Buffalo Bills,Green Bay Packers,1174.8806000000002
Buffalo Bills,Minnesota Vikings,1505.9576000000002
Buffalo Bills,Atlanta Falcons,1407.8746999999998
Buffalo Bills,Carolina Panthers,1048.2989
Buffalo Bills,New Orleans Saints,1977.2067
Buffalo Bills,Tampa Bay Buccaneers,1983.8675
Buffalo Bills,Arizona Cardinals,3606.1094
Buffalo Bills,Los Angeles Rams,4090.9064
Buffalo Bills,San Francisco 49ers,4303.2619
Buffalo Bills,Seattle Seahawks,4142.613
Miami Dolphins,Buffalo Bills,2191.4591
Miami Dolphins,Miami Dolphins,0.0
Miami Dolphins,New England Patriots,2358.1581
Miami Dolphins,New York Jets,2033.1528999999998
Miami Dolphins,Baltimore Ravens,1733.3523
Miami Dolphins,Cincinnati Bengals,1764.5151
Miami Dolphins,Cleveland Browns,1964.9832
Miami Dolphins,Pittsburgh Steelers,1863.1063000000001
Miami Dolphins,Houston Texans,1901.5475
Miami Dolphins,Indianapolis Colts,1852.1275
Miami Dolphins,Jacksonville Jaguars,534.8345
Miami Dolphins,Tennessee Titans,1442.3081000000002
Miami Dolphins,Denver Broncos,3302.5914
Miami Dolphins,Kansas City Chiefs,2321.9847999999997
Miami Dolphins,Las Vegas Raiders,4052.8252
Miami Dolphins,Los Angeles Chargers,4394.8838
Miami Dolphins,Dallas Cowboys,2115.8964
Miami Dolphins,New York Giants,2033.1528999999998
Miami Dolphins,Philadelphia Eagles,1888.5099
Miami Dolphins,Washington Commanders,1693.8891999999998
Miami Dolphins,Chicago Bears,2143.6302
Miami Dolphins,Detroit Lions,2182.8657000000003
Miami Dolphins,Green Bay Packers,2470.9041
Miami Dolphins,Minnesota Vikings,2824.2151
Miami Dolphins,Atlanta Falcons,1044.2808
Miami Dolphins,Carolina Panthers,1146.1107
Miami Dolphins,New Orleans Saints,1368.3219
Miami Dolphins,Tampa Bay Buccaneers,440.2108
Miami Dolphins,Arizona Cardinals,3803.9694
Miami Dolphins,Los Angeles Rams,4394.8838
Miami Dolphins,San Francisco 49ers,4822.628299999999
Miami Dolphins,Seattle Seahawks,5295.9811
New England Patriots,Buffalo Bills,739.0385
New England Patriots,Miami Dolphins,2362.119
New England Patriots,New England Patriots,0.0
New England Patriots,New York Jets,329.30420000000004
New England Patriots,Baltimore Ravens,632.7585
New England Patriots,Cincinnati Bengals,1398.9397
New England Patriots,Cleveland Browns,1027.5081
New England Patriots,Pittsburgh Steelers,920.6433000000001
New England Patriots,Houston Texans,2957.1657
New England Patriots,Indianapolis Colts,1508.451
New England Patriots,Jacksonville Jaguars,1831.0718
New England Patriots,Tennessee Titans,1749.1345
New England Patriots,Denver Broncos,3187.4624
New England Patriots,Kansas City Chiefs,2272.318
New England Patriots,Las Vegas Raiders,4396.2112
New England Patriots,Los Angeles Chargers,4838.0558
New England Patriots,Dallas Cowboys,2847.8915
New England Patriots,New York Giants,329.30420000000004
New England Patriots,Philadelphia Eagles,482.1935
New England Patriots,Washington Commanders,680.929
New England Patriots,Chicago Bears,1594.7562
New England Patriots,Detroit Lions,1155.5828999999999
New England Patriots,Green Bay Packers,1922.03
New England Patriots,Minnesota Vikings,2253.107
New England Patriots,Atlanta Falcons,1712.7575
New England Patriots,Carolina Panthers,1326.2006000000001
New England Patriots,New Orleans Saints,2424.5255
New England Patriots,Tampa Bay Buccaneers,2147.4835
New England Patriots,Arizona Cardinals,4317.9375
New England Patriots,Los Angeles Rams,4838.0558
New England Patriots,San Francisco 49ers,5050.4114
New England Patriots,Seattle Seahawks,4889.7625
New York Jets,Buffalo Bills,547.0273000000001
New York Jets,Miami Dolphins,2043.8724
New York Jets,New England Patriots,371.6481
New York Jets,New York Jets,49.135400000000004
New York Jets,Baltimore Ravens,314.5118
New York Jets,Cincinnati Bengals,997.0771
