team_i,team_j,distance_km
Buffalo Bills,Buffalo Bills,0.0
Buffalo Bills,Miami Dolphins,1911.707130393
Buffalo Bills,New England Patriots,615.1200381040094
Buffalo Bills,New York Jets,452.7342050197098
Buffalo Bills,Baltimore Ravens,452.88933974837965
Buffalo Bills,Cincinnati Bengals,659.3749222994868
Buffalo Bills,Cleveland Browns,308.5182861199857
Buffalo Bills,Pittsburgh Steelers,299.57196980871583
Buffalo Bills,Houston Texans,2061.4305035030975
Buffalo Bills,Indianapolis Colts,725.8525490307222
Buffalo Bills,Jacksonville Jaguars,1408.681832295156
Buffalo Bills,Tennessee Titans,1018.9835291944527
Buffalo Bills,Denver Broncos,2182.797450069123
Buffalo Bills,Kansas City Chiefs,1396.6529150734461
Buffalo Bills,Las Vegas Raiders,3190.032112575793
Buffalo Bills,Los Angeles Chargers,3562.318445918624
Buffalo Bills,Dallas Cowboys,1949.767574578062
Buffalo Bills,New York Giants,452.7342050197098
Buffalo Bills,Philadelphia Eagles,448.41277951688767
Buffalo Bills,Washington Commanders,456.2127808015602
Buffalo Bills,Chicago Bears,760.1214467738889
Buffalo Bills,Detroit Lions,387.1510820425558
Buffalo Bills,Green Bay Packers,775.2000056362989
Buffalo Bills,Minnesota Vikings,1178.9555025133054
Buffalo Bills,Atlanta Falcons,1147.0809731013328
Buffalo Bills,Carolina Panthers,880.3930570195048
Buffalo Bills,New Orleans Saints,1767.1158611455483
Buffalo Bills,Tampa Bay Buccaneers,1698.3895229001919
Buffalo Bills,Arizona Cardinals,3070.4847686155567
Buffalo Bills,Los Angeles Rams,3562.318445918624
Buffalo Bills,San Francisco 49ers,3682.198291008206
Buffalo Bills,Seattle Seahawks,3405.736101168491
Miami Dolphins,Buffalo Bills,1911.707130393
Miami Dolphins,Miami Dolphins,0.0
Miami Dolphins,New England Patriots,1948.500969606441
Miami Dolphins,New York Jets,1749.679220265084
Miami Dolphins,Baltimore Ravens,1525.5451843665194
Miami Dolphins,Cincinnati Bengals,1529.5504879652556
Miami Dolphins,Cleveland Browns,1741.8649047364433
Miami Dolphins,Pittsburgh Steelers,1634.216500182566
Miami Dolphins,Houston Texans,1548.9040318602758
Miami Dolphins,Indianapolis Colts,1645.7028724844145
Miami Dolphins,Jacksonville Jaguars,540.3491893786254
Miami Dolphins,Tennessee Titans,1299.1410078300667
Miami Dolphins,Denver Broncos,2749.7434500568415
