team,distance_km
Buffalo Bills,28.767
Miami Dolphins,30.0072
New England Patriots,55.3677
New York Jets,32.7824
Baltimore Ravens,32.8067
Cincinnati Bengals,22.5
Cleveland Browns,3.7243000000000004
Pittsburgh Steelers,32.748400000000004
Houston Texans,43.7584
Indianapolis Colts,25.1938
Jacksonville Jaguars,32.5862
Tennessee Titans,20.1236
Denver Broncos,52.664300000000004
Kansas City Chiefs,57.6307
Las Vegas Raiders,16.6787
Los Angeles Chargers,8.706
Dallas Cowboys,37.762
New York Giants,20.429
Philadelphia Eagles,11.4129
Washington Commanders,12.5688
Chicago Bears,48.6714
Detroit Lions,20.8078
Green Bay Packers,11.808399999999999
Minnesota Vikings,12.1742
Atlanta Falcons,90.30510000000001
Carolina Panthers,12.034600000000001
New Orleans Saints,11.7682
Tampa Bay Buccaneers,8.3736
Arizona Cardinals,36.7806
Los Angeles Rams,42.783
San Francisco 49ers,10.5063
Seattle Seahawks,17.498099999999997
